ID_LAT_LON_YEAR_WEEK,emission
ID_-23.53_27.47_2019_1,102.01941572000001
ID_-23.53_27.47_2019_2,93.63783058000001
ID_-23.53_27.47_2019_3,92.52514396000004
ID_-23.53_27.47_2019_4,100.67766234999998
ID_-23.53_27.47_2019_5,97.70394436999997
ID_-23.53_27.47_2019_6,100.07049448000002
ID_-23.53_27.47_2019_7,106.23107561
ID_-23.53_27.47_2019_8,106.61283352000002
ID_-23.53_27.47_2019_9,109.66075094000001
ID_-23.53_27.47_2019_10,109.10733737999999
ID_-23.53_27.47_2019_11,118.45456901
ID_-23.53_27.47_2019_12,109.03907089000002
ID_-23.53_27.47_2019_13,112.30313739000003
ID_-23.53_27.47_2019_14,136.41741935000007
ID_-23.53_27.47_2019_15,116.73249420999996
ID_-23.53_27.47_2019_16,142.04961591
ID_-23.53_27.47_2019_17,162.78408766000007
ID_-23.53_27.47_2019_18,170.61275690000005
ID_-23.53_27.47_2019_19,167.93911329999995
ID_-23.53_27.47_2019_20,180.24349353999997
ID_-23.53_27.47_2019_21,179.21482680000005
ID_-23.53_27.47_2019_22,174.20600940999998
ID_-23.53_27.47_2019_23,203.64533969999994
ID_-23.53_27.47_2019_24,211.3891658999999
ID_-23.53_27.47_2019_25,215.34803919999985
ID_-23.53_27.47_2019_26,211.89484829999995
ID_-23.53_27.47_2019_27,218.23018319999994
ID_-23.53_27.47_2019_28,211.84396399999997
ID_-23.53_27.47_2019_29,214.60021009999997
ID_-23.53_27.47_2019_30,208.06255109999992
ID_-23.53_27.47_2019_31,213.72175690000012
ID_-23.53_27.47_2019_32,221.50793790000003
ID_-23.53_27.47_2019_33,213.67115560000005
ID_-23.53_27.47_2019_34,191.28988607999992
ID_-23.53_27.47_2019_35,142.04458296999996
ID_-23.53_27.47_2019_36,135.63901526999996
ID_-23.53_27.47_2019_37,127.19802735000002
ID_-23.53_27.47_2019_38,128.74904986000004
ID_-23.53_27.47_2019_39,178.65919461999994
ID_-23.53_27.47_2019_40,122.68222963000005
ID_-23.53_27.47_2019_41,125.79757999999998
ID_-23.53_27.47_2019_42,119.32673080999996
ID_-23.53_27.47_2019_43,120.46377504000003
ID_-23.53_27.47_2019_44,118.49274059
ID_-23.53_27.47_2019_45,109.30289877
ID_-23.53_27.47_2019_46,109.64406808000005
ID_-23.53_27.47_2019_47,102.57862376000003
ID_-23.53_27.47_2019_48,104.08052875999998
ID_-23.53_27.47_2019_49,109.73258140999995
ID_-23.53_27.47_2019_50,92.75899554999998
ID_-23.53_27.47_2019_51,92.57806349
ID_-23.53_27.47_2019_52,92.90118638999998
ID_-23.53_27.47_2020_1,92.27664191000002
ID_-23.53_27.47_2020_2,92.92401777999997
ID_-23.53_27.47_2020_3,98.05349181000003
ID_-23.53_27.47_2020_4,95.05817585000003
ID_-23.53_27.47_2020_5,104.69521659999998
ID_-23.53_27.47_2020_6,99.10959760999998
ID_-23.53_27.47_2020_7,103.50107890999992
ID_-23.53_27.47_2020_8,103.77842109999997
ID_-23.53_27.47_2020_9,113.83618441000006
ID_-23.53_27.47_2020_10,111.18043945000004
ID_-23.53_27.47_2020_11,112.46486149
ID_-23.53_27.47_2020_12,112.76626469000001
ID_-23.53_27.47_2020_13,128.92034615000003
ID_-23.53_27.47_2020_14,116.46783752999995
ID_-23.53_27.47_2020_15,130.07050791999998
ID_-23.53_27.47_2020_16,159.27082396000003
ID_-23.53_27.47_2020_17,155.55964161000009
ID_-23.53_27.47_2020_18,159.50828374
ID_-23.53_27.47_2020_19,161.78526238
ID_-23.53_27.47_2020_20,175.14203568999997
ID_-23.53_27.47_2020_21,175.37382379999988
ID_-23.53_27.47_2020_22,184.13873860000004
ID_-23.53_27.47_2020_23,210.80880019999987
ID_-23.53_27.47_2020_24,216.46752670000006
ID_-23.53_27.47_2020_25,205.3224647
ID_-23.53_27.47_2020_26,211.92720159999993
ID_-23.53_27.47_2020_27,209.76359519999994
ID_-23.53_27.47_2020_28,212.4940529
ID_-23.53_27.47_2020_29,207.25718189999992
ID_-23.53_27.47_2020_30,216.8580177999999
ID_-23.53_27.47_2020_31,201.59777200000005
ID_-23.53_27.47_2020_32,215.67076524000004
ID_-23.53_27.47_2020_33,214.59922210000005
ID_-23.53_27.47_2020_34,187.5307017800001
ID_-23.53_27.47_2020_35,180.46114879999993
ID_-23.53_27.47_2020_36,137.02488413
ID_-23.53_27.47_2020_37,143.29133898
ID_-23.53_27.47_2020_38,120.20734790000002
ID_-23.53_27.47_2020_39,129.37604009999993
ID_-23.53_27.47_2020_40,118.21148759000002
ID_-23.53_27.47_2020_41,118.26105800000003
ID_-23.53_27.47_2020_42,123.69924350999997
ID_-23.53_27.47_2020_43,120.12182919000004
ID_-23.53_27.47_2020_44,121.74084636999993
ID_-23.53_27.47_2020_45,115.53370344000002
ID_-23.53_27.47_2020_46,111.04008805000004
ID_-23.53_27.47_2020_47,110.43768340999998
ID_-23.53_27.47_2020_48,107.74610605
ID_-23.53_27.47_2020_49,108.75312
ID_-23.53_27.47_2020_50,105.89794547999996
ID_-23.53_27.47_2020_51,134.10881773999998
ID_-23.53_27.47_2020_52,100.61491861
ID_-23.53_27.47_2021_1,92.73742058000003
ID_-23.53_27.47_2021_2,92.10071554000002
ID_-23.53_27.47_2021_3,93.90604208000002
ID_-23.53_27.47_2021_4,102.13713681999994
ID_-23.53_27.47_2021_5,107.17760217999998
ID_-23.53_27.47_2021_6,103.07968693000007
ID_-23.53_27.47_2021_7,100.73123908000001
ID_-23.53_27.47_2021_8,111.25124047999998
ID_-23.53_27.47_2021_9,110.92301776000004
ID_-23.53_27.47_2021_10,112.04698159000007
ID_-23.53_27.47_2021_11,119.18895563000005
